, options [nop,nop,TS val 4231069619 ecr 3863754939], length 0
16:29:11.045091 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1121904, win 168, options [nop,nop,TS val 4231069620 ecr 3863754939], length 0
16:29:11.045335 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1123440, win 156, options [nop,nop,TS val 4231069620 ecr 3863754939], length 0
16:29:11.045682 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1124976, win 144, options [nop,nop,TS val 4231069620 ecr 3863754940], length 0
16:29:11.046033 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1126512, win 132, options [nop,nop,TS val 4231069620 ecr 3863754940], length 0
16:29:11.046465 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1128560, win 116, options [nop,nop,TS val 4231069621 ecr 3863754940], length 0
16:29:11.046550 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1130096, win 104, options [nop,nop,TS val 4231069621 ecr 3863754940], length 0
16:29:11.046773 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1131632, win 92, options [nop,nop,TS val 4231069621 ecr 3863754941], length 0
16:29:11.046996 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1133168, win 80, options [nop,nop,TS val 4231069621 ecr 3863754941], length 0
16:29:11.047079 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1134704, win 68, options [nop,nop,TS val 4231069622 ecr 3863754941], length 0
16:29:11.047199 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1136240, win 56, options [nop,nop,TS val 4231069622 ecr 3863754941], length 0
16:29:11.047486 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1137776, win 44, options [nop,nop,TS val 4231069622 ecr 3863754942], length 0
16:29:11.047823 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1139312, win 32, options [nop,nop,TS val 4231069622 ecr 3863754942], length 0
16:29:11.054216 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1143168, win 2, options [nop,nop,TS val 4231069629 ecr 3863754942], length 0
16:29:11.129940 IP 92.63.197.21.58687 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.59917: Flags [S], seq 2136930870, win 1024, length 0
16:29:11.130529 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421 > 67.207.67.3.domain: 13494+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.130580 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350 > 67.207.67.3.domain: 38058+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.130624 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788 > 67.207.67.3.domain: 240+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.133924 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421: 13494 NXDomain 0/1/1 (114)
16:29:11.134110 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421 > 67.207.67.3.domain: 13494+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.134265 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350: 38058 NXDomain 0/1/1 (114)
16:29:11.134307 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350 > 67.207.67.3.domain: 38058+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.134396 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788: 240 NXDomain 0/1/1 (114)
16:29:11.134429 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788 > 67.207.67.3.domain: 240+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.137019 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350: 38058 NXDomain 0/1/0 (103)
16:29:11.137487 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788: 240 NXDomain 0/1/0 (103)
16:29:11.137796 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421: 13494 NXDomain 0/1/0 (103)
16:29:11.273544 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1143168:1143424, ack 1, win 501, options [nop,nop,TS val 3863755180 ecr 4231069629], length 256
16:29:11.369673 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1199168:1199424, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369705 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1199424:1199680, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369736 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1199680:1199936, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369767 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1199936:1200192, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369799 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1200192:1200448, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369833 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1200448:1200704, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369865 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1200704:1200960, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369901 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1200960:1201216, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369933 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1201216:1201472, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.369966 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1201472:1201728, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.369998 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1201728:1201984, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.370029 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1201984:1202240, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.370069 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1202240:1202496, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.370103 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1202496:1202752, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.370134 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1202752:1203008, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.370166 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1203008:1203264, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.370199 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1203264:1203520, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.370242 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1203520:1203776, ack 1, win 501, options [nop,nop,TS val 3863755277 ecr 4231069937], length 256
16:29:11.376194 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1146320, win 451, options [nop,nop,TS val 4231069951 ecr 3863755270], length 0
16:29:11.376194 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1153168, win 398, options [nop,nop,TS val 4231069951 ecr 3863755270], length 0
16:29:11.376243 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1203776:1204032, ack 1, win 501, options [nop,nop,TS val 3863755283 ecr 4231069951], length 256
16:29:11.376361 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1154624, win 387, options [nop,nop,TS val 4231069951 ecr 3863755270], length 0
16:29:11.376603 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1156160, win 375, options [nop,nop,TS val 4231069951 ecr 3863755270], length 0
16:29:11.376713 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1157696, win 363, options [nop,nop,TS val 4231069951 ecr 3863755271], length 0
16:29:11.386200 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1203776, win 3, options [nop,nop,TS val 4231069961 ecr 3863755271], length 0
16:29:11.429119 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1204032, win 1, options [nop,nop,TS val 4231070003 ecr 3863755283], length 0
16:29:11.649541 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1204032:1204160, ack 1, win 501, options [nop,nop,TS val 3863755556 ecr 4231070003], length 128
16:29:11.662926 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1204160, win 0, options [nop,nop,TS val 4231070237 ecr 3863755556], length 0
16:29:11.733670 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1204160, win 501, options [nop,nop,TS val 4231070308 ecr 3863755556], length 0
16:29:11.733721 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1204160:1206288, ack 1, win 501, options [nop,nop,TS val 3863755640 ecr 4231070308], length 2128
16:29:11.733918 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1206288:1206720, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 432
16:29:11.733977 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1206720:1206976, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734019 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1206976:1207232, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734060 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1207232:1207488, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734099 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1207488:1207744, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734140 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1207744:1208000, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734179 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1208000:1208256, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734219 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1208256:1208512, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734258 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1208512:1208768, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734296 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1208768:1209024, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734335 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1209024:1209280, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734422 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1209280:1209536, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734511 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1209536:1209792, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734551 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1209792:1210048, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734591 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1210048:1210304, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734630 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1210304:1210560, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734668 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1210560:1210816, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734707 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1210816:1211072, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734744 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1211072:1211328, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734783 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1211328:1211584, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734833 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1211584:1211840, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734873 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1211840:1212096, ack 1, win 501, options [nop,nop,TS val 3863755641 ecr 4231070308], length 256
16:29:11.734914 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1212096:1212352, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.734952 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1212352:1212608, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.734990 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1212608:1212864, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735039 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1212864:1213120, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735079 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1213120:1213376, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735119 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1213376:1213632, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735157 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1213632:1213888, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735193 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1213888:1214144, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735232 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1214144:1214400, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735271 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1214400:1214656, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735308 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1214656:1214912, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735346 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1214912:1215168, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735384 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1215168:1215424, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735420 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1215424:1215680, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735460 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1215680:1215936, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735501 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1215936:1216192, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735557 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1216192:1216448, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735609 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1216448:1216704, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735653 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1216704:1216960, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735691 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1216960:1217216, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735728 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1217216:1217472, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735765 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1217472:1217728, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735815 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1217728:1217984, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735853 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1217984:1218240, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735891 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1218240:1218496, ack 1, win 501, options [nop,nop,TS val 3863755642 ecr 4231070308], length 256
16:29:11.735932 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1218496:1218752, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.735970 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1218752:1219008, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736008 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1219008:1219264, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736045 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1219264:1219520, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736082 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1219520:1219776, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736121 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1219776:1220032, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736158 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1220032:1220288, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736196 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1220288:1220544, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736251 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1220544:1220800, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736289 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1220800:1221056, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736331 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1221056:1221312, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736388 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1221312:1221568, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736449 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1221568:1221824, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736491 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1221824:1222080, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736530 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1222080:1222336, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736571 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1222336:1222592, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736611 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1222592:1222848, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736652 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1222848:1223104, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736699 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1223104:1223360, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736748 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1223360:1223616, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736794 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1223616:1223872, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736842 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1223872:1224128, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736893 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1224128:1224384, ack 1, win 501, options [nop,nop,TS val 3863755643 ecr 4231070308], length 256
16:29:11.736939 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1224384:1224640, ack 1, win 501, options [nop,nop,TS val 3863755644 ecr 4231070308], length 256
16:29:11.736978 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1224640:1224896, ack 1, win 501, options [nop,nop,TS val 3863755644 ecr 4231070308], length 256
16:29:11.737017 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1224896:1225152, ack 1, win 501, options [nop,nop,TS val 3863755644 ecr 4231070308], length 256
